Id,Square,KitchenSquare,LifeSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_3,Shops_1,avgsq_x,Healthcare_1,avgpriceavg,Ecology_2_A,Ecology_3_A,Shops_2_A,Helthcare_2_0,Helthcare_2_1,Helthcare_2_2,Helthcare_2_3,Helthcare_2_4,Helthcare_2_5,Rooms_1.0,Rooms_2.0,Rooms_3.0,Rooms_4.0,Price
14038,-0.11996789906000267,-0.009569498978409164,-0.0964840862809699,-0.2913057011653409,-0.748938452687341,-0.8601415391018007,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.22981559876374655,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,184966.9307298416
8401,-0.1802042259811425,-0.009569498978409164,-0.18742716068016063,-0.2913057011653409,0.10094971676789259,-0.8601415391018007,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.35858597363883055,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,194175.39511126454
14308,-0.1164976742139442,-0.009569498978409164,-0.09608026676135284,-1.0545354153602473,-0.748938452687341,-0.7511393734708889,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.2292438126077748,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,181020.1205266476
14777,-0.09403070564705189,-0.009569498978409164,-0.08950336393086546,0.0903091559321123,-0.748938452687341,-0.8056404562863448,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.21993128113032126,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,212745.17480758688
13067,-0.11211373214696228,-0.009569498978409164,-0.10186517467198147,0.6627314415782921,-0.23900555101420087,-0.5331350422090655,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.23743492298303737,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,212187.94364649086
4005,0.05174190127225345,-0.21965729213777618,-0.05282918225471197,-0.2913057011653409,-1.0888937204694344,-0.4241328765781537,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.1680026636531311,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,263718.55303100776
7274,-0.15192279712932305,-0.009569498978409164,-0.07993745517772077,-0.6729205582627941,-0.23900555101420087,-0.5331350422090655,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.2063864822074662,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,235371.6213151476
57,-0.13577024972683502,-0.009569498978409164,-0.09143150034529594,-0.8637279868115206,-0.748938452687341,-0.5876361250245213,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.22266141589359822,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,203384.32802587762
11024,-0.12148188192074005,-0.044584131171637,-0.12408913287192355,-1.2453428439089738,-0.748938452687341,-0.8056404562863448,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.2689028214186351,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,194443.06720451696
6890,-0.038918484539393346,0.06045976540804651,-0.04000819022495278,1.9983834414193782,1.4607707878962664,0.011875785945493267,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.14984884643450794,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,1,0,0,249587.62857450655
4698,0.08535714990310934,-0.009569498978409164,0.13631068202278376,-0.2913057011653409,-0.748938452687341,-0.7511393734708889,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.19177800498958336,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,0,1,0,242403.7158755711
11898,0.05841532226876176,-0.009569498978409164,0.024492500923263667,-1.0545354153602473,-0.748938452687341,-0.7511393734708889,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.2973302543364808,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,0,1,0,84968.37117809823
3348,0.0411452991928207,-0.009569498978409164,0.07709742040884535,0.2811165844808389,-0.5789608187962944,-0.8601415391018007,-0.2505290897059242,0.47416862408077,-0.12753306190436442,1.408355953017129,-0.24767314559247705,-0.1692400017779098,0.4376434012462169,0,0,0,1,0,0,0,0,0,0,0,1,0,294961.801162295
